panel,observable,log_Mstar_h2Msun,log_value,err_up,err_down,Mstar_h2Msun,value_linear
a,sigma_hw,9.640,1.917,0.104,0.117,4.37e+09,82.51
a,sigma_hw,9.833,2.015,0.062,0.076,6.80e+09,103.49
a,sigma_hw,10.025,2.035,0.050,0.058,1.06e+10,108.37
a,sigma_hw,10.222,2.117,0.072,0.088,1.67e+10,131.01
a,sigma_hw,10.419,2.202,0.028,0.032,2.62e+10,159.07
a,sigma_hw,10.603,2.252,0.040,0.046,4.01e+10,178.57
a,sigma_hw,10.800,2.322,0.022,0.024,6.31e+10,209.94
a,sigma_hw,10.984,2.348,0.022,0.024,9.63e+10,222.95
a,sigma_hw,11.163,2.481,0.054,0.062,1.46e+11,302.48
a,sigma_hw,11.342,2.563,0.131,0.195,2.20e+11,365.68
b,sigma_sw,9.636,1.917,0.104,0.117,4.32e+09,82.51
b,sigma_sw,9.833,2.011,0.064,0.076,6.80e+09,102.52
b,sigma_sw,10.025,2.035,0.050,0.060,1.06e+10,108.37
b,sigma_sw,10.218,2.103,0.076,0.094,1.65e+10,126.82
b,sigma_sw,10.415,2.214,0.040,0.044,2.60e+10,163.57
b,sigma_sw,10.603,2.310,0.060,0.068,4.01e+10,204.17
b,sigma_sw,10.795,2.358,0.016,0.018,6.24e+10,228.14
b,sigma_sw,10.984,2.426,0.024,0.026,9.63e+10,266.99
b,sigma_sw,11.159,2.587,0.020,0.022,1.44e+11,386.46
b,sigma_sw,11.338,2.649,0.040,0.044,2.18e+11,446.07
c,N_sat,9.640,0.000,0.078,0.000,4.37e+09,1.00
c,N_sat,9.833,0.012,0.045,0.012,6.80e+09,1.03
c,N_sat,10.025,0.015,0.027,0.015,1.06e+10,1.04
c,N_sat,10.218,0.027,0.021,0.021,1.65e+10,1.06
c,N_sat,10.415,0.051,0.018,0.015,2.60e+10,1.13
c,N_sat,10.603,0.105,0.012,0.012,4.01e+10,1.27
c,N_sat,10.800,0.193,0.012,0.012,6.31e+10,1.56
c,N_sat,10.984,0.383,0.012,0.012,9.63e+10,2.41
c,N_sat,11.163,0.681,0.015,0.015,1.46e+11,4.79
c,N_sat,11.342,0.925,0.030,0.030,2.20e+11,8.41
